,Date,signal,signal_rsi,rsi
2182,2022-12-12,0.0,0.0,60.230822040475225
2183,2022-12-13,0.0,0.0,61.31304520026319
2184,2022-12-14,0.0,0.0,59.582503782086306
2185,2022-12-15,0.0,0.0,51.300914639083494
2186,2022-12-16,0.0,0.0,52.56973181625106
2187,2022-12-19,0.0,0.0,50.100296809173834
2188,2022-12-20,1.0,1.0,35.612605940919934
2189,2022-12-21,1.0,1.0,39.43138858728284
2190,2022-12-22,1.0,1.0,34.545451997864646
2191,2022-12-23,1.0,1.0,38.568860745634026
2192,2022-12-27,1.0,1.0,41.29322064529154
2193,2022-12-28,1.0,1.0,39.86402885025255
2194,2022-12-29,1.0,1.0,43.85458504966666
2195,2022-12-30,1.0,1.0,44.531255355108314
2196,2023-01-03,1.0,1.0,35.42277362619211
2197,2023-01-04,1.0,1.0,22.41170805992877
2198,2023-01-05,1.0,1.0,19.328747025191618
2199,2023-01-06,1.0,1.0,26.539341510805613
2200,2023-01-09,1.0,1.0,32.1406613613987
2201,2023-01-10,1.0,1.0,37.57498237295203
2202,2023-01-11,1.0,1.0,44.229662869635234
2203,2023-01-12,1.0,1.0,44.34682816046687
2204,2023-01-13,0.0,0.0,51.110155536118256
2205,2023-01-17,0.0,0.0,51.708151031770264
2206,2023-01-18,1.0,1.0,48.854344740279906
2207,2023-01-19,1.0,1.0,47.48256645431229
2208,2023-01-20,1.0,1.0,49.26099824117208
2209,2023-01-23,0.0,0.0,52.52654013223342
2210,2023-01-24,0.0,0.0,52.239611695802445
2211,2023-01-25,0.0,0.0,62.54630940219339
2212,2023-01-26,-1.0,-1.0,77.64147288094418
2213,2023-01-27,-1.0,-1.0,76.39171747724365
2214,2023-01-30,0.0,0.0,66.490374574428
2215,2023-01-31,0.0,0.0,68.72036529482244
2216,2023-02-01,0.0,0.0,67.44758438662114
2217,2023-02-02,-1.0,-1.0,72.58092079354113
2218,2023-02-03,0.0,0.0,65.10268581061135
2219,2023-02-06,0.0,0.0,62.87639000636106
2220,2023-02-07,-1.0,-1.0,72.67531904821483
2221,2023-02-08,-1.0,-1.0,75.9856682280943
2222,2023-02-09,0.0,0.0,68.93815377137422
