,Cash,Position,pnl,g_sl,g_tp,close,no_trades,no_wins
369,10000,0.0,0,0,0,15,0.0,0.0
370,10000,0.0,0,0,0,15,0.0,0.0
371,10000,0.0,0,0,0,15,0.0,0.0
372,10000,0.0,0,0,0,15,0.0,0.0
373,10000,0.0,0,0,0,15,0.0,0.0
374,10000,0.0,0,0,0,15,0.0,0.0
375,10000,0.0,0,0,0,15,0.0,0.0
376,10000,0.0,0,0,0,15,0.0,0.0
377,10000,0.0,0,0,0,15,0.0,0.0
378,10000,0.0,0,0,0,15,0.0,0.0
379,10000,0.0,0,0,0,15,0.0,0.0
380,10000,0.0,0,0,0,16,0.0,0.0
381,10000,0.0,0,0,0,16,0.0,0.0
382,10000,0.0,0,0,0,16,0.0,0.0
383,10000,0.0,0,0,0,16,0.0,0.0
384,10000,0.0,0,0,0,15,0.0,0.0
385,10000,0.0,0,0,0,16,0.0,0.0
386,10000,0.0,0,0,0,16,0.0,0.0
387,10000,0.0,0,0,0,16,0.0,0.0
388,10000,0.0,0,0,0,16,0.0,0.0
389,10000,0.0,0,0,0,17,0.0,0.0
390,9982,1.0,0,13,25,17,0.0,0.0
391,9982,0.0,0,13,25,16,0.0,0.0
392,9982,0.0,0,13,25,17,0.0,0.0
393,9982,0.0,0,13,25,17,0.0,0.0
394,9982,0.0,0,13,25,17,0.0,0.0
395,9982,0.0,0,13,25,17,0.0,0.0
396,9982,0.0,0,13,25,17,0.0,0.0
397,9982,0.0,0,13,25,17,0.0,0.0
398,9982,0.0,0,13,25,17,0.0,0.0
399,9982,0.0,0,13,25,17,0.0,0.0
400,9982,0.0,0,13,25,17,0.0,0.0
401,9982,0.0,0,13,25,17,0.0,0.0
402,9982,0.0,0,13,25,17,0.0,0.0
403,9982,0.0,0,13,25,17,0.0,0.0
404,9982,0.0,0,13,25,17,0.0,0.0
405,9982,0.0,0,13,25,17,0.0,0.0
406,9982,0.0,0,13,25,17,0.0,0.0
407,9982,0.0,0,13,25,17,0.0,0.0
408,9982,0.0,0,13,25,17,0.0,0.0
409,9982,0.0,0,13,25,17,0.0,0.0
410,9982,0.0,0,13,25,17,0.0,0.0
411,9982,0.0,0,13,25,17,0.0,0.0
412,9982,0.0,0,13,25,17,0.0,0.0
413,9982,0.0,0,13,25,17,0.0,0.0
414,9982,0.0,0,13,25,17,0.0,0.0
415,9982,0.0,0,13,25,17,0.0,0.0
416,9982,0.0,0,13,25,17,0.0,0.0
417,9982,0.0,0,13,25,17,0.0,0.0
418,9982,0.0,0,13,25,17,0.0,0.0
419,9982,0.0,0,13,25,17,0.0,0.0
420,9982,0.0,0,13,25,16,0.0,0.0
421,9982,0.0,0,13,25,16,0.0,0.0
422,9982,0.0,0,13,25,17,0.0,0.0
423,9982,0.0,0,13,25,17,0.0,0.0
424,9982,0.0,0,13,25,17,0.0,0.0
425,9982,0.0,0,13,25,16,0.0,0.0
426,9982,0.0,0,13,25,16,0.0,0.0
427,9982,0.0,0,13,25,17,0.0,0.0
428,9982,0.0,0,13,25,17,0.0,0.0
429,9982,0.0,0,13,25,17,0.0,0.0
430,9982,0.0,0,13,25,17,0.0,0.0
431,9982,0.0,0,13,25,17,0.0,0.0
432,9982,0.0,0,13,25,17,0.0,0.0
433,9982,0.0,0,13,25,16,0.0,0.0
434,9982,0.0,0,13,25,16,0.0,0.0
435,9982,0.0,0,13,25,16,0.0,0.0
436,9982,0.0,0,13,25,16,0.0,0.0
437,9982,0.0,0,13,25,15,0.0,0.0
438,9982,0.0,0,13,25,15,0.0,0.0
439,9982,0.0,0,13,25,15,0.0,0.0
440,9982,0.0,0,13,25,15,0.0,0.0
441,9982,0.0,0,13,25,14,0.0,0.0
442,9982,0.0,0,13,25,14,0.0,0.0
443,9982,0.0,0,13,25,14,0.0,0.0
444,9982,0.0,0,13,25,14,0.0,0.0
445,9982,0.0,0,13,25,13,0.0,0.0
